formula,target
CCCC#N,0.01574585742923973
COc1ccccc1O,-0.6045725793240166
Cc1cc(c2ccccc2c1)C,0.33129914916893966
CCCOCCO,-0.728636266674668
CCCO,-0.3105955810366037
Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,-1.540444307816973
CCc1ccc(cc1)C,0.7412487247623961
CC1=CC[C@H](C[C@@H]1O)C(=C)C,-0.2000170770936321
CCc1ccc(cc1)O,-0.6558162762731985
C(C(Cl)(Cl)Cl)Cl,0.611790964048673
CCOc1ccccc1,0.3987250662073371
Cc1cccc(c1O)C,-0.4211740849795754
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-1.5485354178615804
c1cc(c(cc1Cl)Cl)Cl,0.6953991011762858
CCOC=O,0.3070258190351166
c1ccsc1,0.6198820740932807
Cc1ccc(cc1)C(C)C,0.8140687151638653
C[C@H](CC(C)C)O,-0.00852747270458332
CCC[C@@H](C)O,-0.18653189368595233
c1ccc(cc1)CO,-0.7879710736684576
CC(C)NC(C)C,0.12902139805374732
c1cc(ccc1C=O)O,-1.384016180287891
CC(C)[N+](=O)[O-],0.1532947281875705
CC(=O)N1CCCC1,-1.645628738396873
c1cnc[nH]1,-1.5997791148107627
CC(=O)OCC(COC(=O)C)OC(=O)C,-1.3867132169694267
CCCCC(=O)C,0.11283917796453204
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-0.7556066334900269
C=Cc1ccccc1,0.6630346609978551
CCOCCO,-0.806850330439209
CCCC(C)(C)C,1.7742137737906447
c1cc(cc(c1)[N+](=O)[O-])N,-1.3867132169694267
CCCOC,0.5497591203733474
CCN(CC)CC,0.12902139805374732
CCCCCCC=O,0.2773584155382218
CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],0.3366932225320114
C1CNCCN1,-0.9983399348282577
CN(C)CCOC(c1ccccc1)c2ccccc2,-1.5215650510462215
C(F)(F)(F)Br,1.480236775503232
C(Cl)(Cl)Cl,0.7061872479024294
CCC(C)(C)C,1.6744234165738165
CC(=O)c1cccnc1,-1.230285089440345
CCCCCN,-0.10562079323987553
CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-1.6267494816261219
Cc1ccc(cc1)Br,0.6225791107748165
CCCCCC=C,1.4451752986432655
CCNc1nc(nc(n1)Cl)NCC,-1.7589042790213807
CC(C)Cc1cnccn1,-0.3618392779857858
CC(C)CCO,-0.19462300373056018
CCCCCC(=O)OC,0.32590507580586786
