formula,target
COc1cc2ncnc(Nc3cc4ccccc4cn3)c2cc1OC,1.43443893603289
Cc1oncc1C(=O)Nc2ccc(cc2)C(F)(F)F,1.43443893603289
Clc1ccc2OCOc2c1Nc3ccnc(Nc4ccccc4)n3,1.43443893603289
CN(c1ccnc(Nc2cc(nc(n2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,1.43443893603289
O=C(Cc1cccc2ccccc12)Nc3ccccc3,1.43443893603289
COc1cc2cc(nc(C)c2cc1OC)c3ccc(O)cc3O,1.43443893603289
Cc1ccc(NC(=O)[C@H]2CCCN2S(=O)(=O)c3cccc4cccnc34)c(C)c1,1.43443893603289
CC(C)C[C@H](CO)Nc1nc(SCc2cccc(c2)C#N)nc3nc(N)sc13,1.43443893603289
CCN(CC)S(=O)(=O)c1ccc(cc1)c2oc(SCC(=O)N3CCc4ccccc34)nn2,1.43443893603289
CC(C)(C)OC(=O)N1CCN(CC1)c2ccc(OCc3ccc(cc3)S(=O)(=O)C)cc2,1.43443893603289
CC1=NC(=C(NC1=O)c2ccc(CN3CCC(CC3)N4C(=O)Nc5ccccc45)cc2)c6ccccc6,1.43443893603289
Clc1cccc(Nc2ncnc3ccccc23)c1,1.43443893603289
COc1cccc(Nc2nc(NCC3CCCO3)c4ccccc4n2)c1,1.43443893603289
FC(F)(F)Oc1ccc(CNC(=O)C2N(CC3CC(F)(F)C3)C(=O)c4ccccc24)cc1,1.43443893603289
COc1ccc2nc(C)cc(OCC(=O)Nc3ccccc3OC)c2c1,1.43443893603289
CC(C)Nc1nc(NCc2ccccc2)c3sccc3n1,1.43443893603289
Fc1cccc(F)c1CS(=O)(=O)N2CCN(CC2)c3ncccc3C(F)(F)F,1.43443893603289
O=C1NC=Cc2nc(c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6ccccn6)cc3)c(cc12)c7ccccc7,1.43443893603289
CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4ccc(F)cc4,1.43443893603289
CC(C)N(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,1.43443893603289
COc1cc(ccc1Nc2ncc(Cl)c(Oc3cccc(NC(=O)C=C)c3)n2)N4CCN(C)CC4,1.43443893603289
Oc1cc(ccc1NC(=O)Nc2ccccc2Br)[N+](=O)[O-],1.43443893603289
COc1cc(Nc2nccc(n2)N(C)c3cc(CO)ccc3C)cc(c1)N4CCOCC4,1.43443893603289
CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)Cc4ccc(cc4)C#N,1.43443893603289
O[C@H](CNC(=O)c1c[nH]c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1.442696623375386
